"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total CAASPP Enrollment","Total Tested At Entity Level","Total Tested with Scores","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage Near Standard","Area 4 Percentage Below Standard"
"41","69039","6044887",,2016,121,"B",9,"9",9,3,"1",1,"1","*","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,121,"B",9,"9",9,4,"1",5,"5","*","*","*","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,121,"B",9,"9",9,4,"2",5,"5","*","*","*","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,121,"B",9,"9",9,5,"2",3,"3","*","*","*","*","*","*","3","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,121,"B",9,"9",9,5,"1",3,"3","*","*","*","*","*","*","3","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,121,"B",9,"9",9,13,"1",9,"9","","*","*","*","*","*","9","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,121,"B",9,"9",9,13,"2",9,"9","","*","*","*","*","*","9","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,128,"B",15,"15",15,3,"1",5,"5","*","*","*","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,128,"B",15,"15",15,3,"2",5,"5","*","*","*","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,128,"B",15,"15",15,4,"2",5,"5","*","*","*","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,128,"B",15,"15",15,4,"1",5,"5","*","*","*","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,128,"B",15,"15",15,5,"1",5,"5","*","*","*","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,128,"B",15,"15",15,5,"2",5,"5","*","*","*","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,128,"B",15,"15",15,13,"2",15,"15","","13","0","13","7","80","15","13","7","80","13","7","80","13","7","80","0","0","0"
"41","69039","6044887",,2016,128,"B",15,"15",15,13,"1",15,"15","","7","13","20","0","80","15","7","13","80","13","7","80","7","20","73","0","27","73"
"41","69039","6044887",,2016,142,"B",100,"100",100,3,"2",44,"44","2379.0","0","11","11","39","50","44","5","23","73","0","61","39","0","68","32","0","0","0"
"41","69039","6044887",,2016,142,"B",100,"100",100,3,"1",44,"44","2344.9","0","9","9","32","59","44","0","30","70","0","26","74","2","64","34","0","55","45"
"41","69039","6044887",,2016,142,"B",100,"100",100,4,"1",34,"34","2384.8","0","3","3","35","62","34","0","32","68","0","38","62","0","65","35","0","56","44"
"41","69039","6044887",,2016,142,"B",100,"100",100,4,"2",34,"34","2402.3","3","3","6","41","53","34","3","18","79","3","32","65","6","38","56","0","0","0"
"41","69039","6044887",,2016,142,"B",100,"100",100,5,"2",22,"22","2452.5","0","5","5","50","45","22","5","41","55","0","45","55","5","36","59","0","0","0"
"41","69039","6044887",,2016,142,"B",100,"100",100,5,"1",22,"22","2402.2","0","0","0","14","86","22","0","32","68","0","18","82","0","45","55","0","73","27"
"41","69039","6044887",,2016,142,"B",100,"100",100,13,"1",100,"100","","0","5","5","29","66","100","0","31","69","0","29","71","1","60","39","0","59","41"
"41","69039","6044887",,2016,142,"B",100,"100",100,13,"2",100,"100","","1","7","8","42","50","100","4","25","71","1","48","51","3","51","46","0","0","0"
"41","69039","6044887",,2016,144,"B",10,"10",10,3,"2",5,"5","*","*","*","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,144,"B",10,"10",10,3,"1",5,"5","*","*","*","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,144,"B",10,"10",10,4,"1",3,"3","*","*","*","*","*","*","3","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,144,"B",10,"10",10,4,"2",3,"3","*","*","*","*","*","*","3","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,144,"B",10,"10",10,5,"2",2,"2","*","*","*","*","*","*","2","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,144,"B",10,"10",10,5,"1",2,"2","*","*","*","*","*","*","2","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,144,"B",10,"10",10,13,"1",10,"10","","*","*","*","*","*","10","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,144,"B",10,"10",10,13,"2",10,"10","","*","*","*","*","*","10","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,160,"B",100,"100",100,3,"1",44,"44","2344.9","0","9","9","32","59","44","0","30","70","0","26","74","2","64","34","0","55","45"
"41","69039","6044887",,2016,160,"B",100,"100",100,3,"2",44,"44","2379.0","0","11","11","39","50","44","5","23","73","0","61","39","0","68","32","0","0","0"
"41","69039","6044887",,2016,160,"B",100,"100",100,4,"2",34,"34","2402.3","3","3","6","41","53","34","3","18","79","3","32","65","6","38","56","0","0","0"
"41","69039","6044887",,2016,160,"B",100,"100",100,4,"1",34,"34","2384.8","0","3","3","35","62","34","0","32","68","0","38","62","0","65","35","0","56","44"
